 rt 	  est 	  resp 	  laten 	  good 	  SU 
 298	 1	 4	 631922	 1	 C_VG_11101993
 -99	 2	 -99	 633922	 1	 C_VG_11101993
 313	 1	 4	 635829	 1	 C_VG_11101993
 -99	 2	 -99	 637517	 1	 C_VG_11101993
 391	 1	 4	 639234	 1	 C_VG_11101993
 359	 1	 4	 641063	 1	 C_VG_11101993
 342	 1	 4	 642392	 1	 C_VG_11101993
 -99	 2	 -99	 644750	 1	 C_VG_11101993
 343	 1	 4	 646532	 1	 C_VG_11101993
 313	 1	 4	 648484	 1	 C_VG_11101993
 438	 1	 4	 650859	 1	 C_VG_11101993
 343	 1	 4	 652532	 1	 C_VG_11101993
 280	 1	 4	 654720	 1	 C_VG_11101993
 375	 1	 4	 656109	 1	 C_VG_11101993
 375	 1	 4	 658282	 1	 C_VG_11101993
 -99	 2	 -99	 659657	 1	 C_VG_11101993
 391	 1	 4	 660579	 1	 C_VG_11101993
 313	 1	 4	 662984	 1	 C_VG_11101993
 329	 1	 4	 664000	 1	 C_VG_11101993
 468	 1	 4	 666345	 1	 C_VG_11101993
 391	 1	 4	 668688	 1	 C_VG_11101993
 -99	 2	 -99	 669984	 1	 C_VG_11101993
 298	 1	 4	 671172	 1	 C_VG_11101993
 375	 1	 4	 672579	 1	 C_VG_11101993
 438	 1	 4	 673984	 1	 C_VG_11101993
 343	 1	 4	 675329	 1	 C_VG_11101993
 358	 1	 4	 676267	 1	 C_VG_11101993
 358	 1	 4	 677392	 1	 C_VG_11101993
 360	 1	 4	 678657	 1	 C_VG_11101993
 -99	 2	 -99	 680407	 1	 C_VG_11101993
 359	 1	 4	 682313	 1	 C_VG_11101993
 438	 1	 4	 684657	 1	 C_VG_11101993
 454	 1	 4	 807234	 1	 C_VG_11101993
 298	 1	 4	 808609	 1	 C_VG_11101993
 281	 1	 4	 810907	 1	 C_VG_11101993
 296	 1	 4	 813017	 1	 C_VG_11101993
 297	 1	 4	 815095	 1	 C_VG_11101993
 -99	 2	 -99	 817282	 1	 C_VG_11101993
 296	 1	 4	 818517	 1	 C_VG_11101993
 358	 1	 4	 820767	 1	 C_VG_11101993
 359	 1	 4	 821829	 1	 C_VG_11101993
 359	 1	 4	 823813	 1	 C_VG_11101993
 359	 1	 4	 825220	 1	 C_VG_11101993
 312	 1	 4	 826922	 1	 C_VG_11101993
 468	 1	 4	 827954	 1	 C_VG_11101993
 -99	 2	 -99	 828907	 1	 C_VG_11101993
 296	 1	 4	 830563	 1	 C_VG_11101993
 391	 1	 4	 832813	 1	 C_VG_11101993
 298	 1	 4	 834484	 1	 C_VG_11101993
 -99	 2	 -99	 836532	 1	 C_VG_11101993
 391	 1	 4	 838188	 1	 C_VG_11101993
 329	 1	 4	 840250	 1	 C_VG_11101993
 391	 1	 4	 842297	 1	 C_VG_11101993
 407	 1	 4	 844625	 1	 C_VG_11101993
 329	 1	 4	 846563	 1	 C_VG_11101993
 345	 1	 4	 848797	 1	 C_VG_11101993
 328	 1	 4	 850017	 1	 C_VG_11101993
 -99	 2	 -99	 851188	 1	 C_VG_11101993
 283	 1	 4	 853234	 1	 C_VG_11101993
 -99	 2	 -99	 855282	 1	 C_VG_11101993
 313	 1	 4	 857532	 1	 C_VG_11101993
 391	 1	 4	 858547	 1	 C_VG_11101993
 358	 1	 4	 860642	 1	 C_VG_11101993
 297	 1	 4	 862220	 1	 C_VG_11101993
 329	 1	 4	 863375	 1	 C_VG_11101993
 327	 1	 4	 864970	 1	 C_VG_11101993
 312	 1	 4	 866188	 1	 C_VG_11101993
 -99	 2	 -99	 867172	 1	 C_VG_11101993
 296	 1	 4	 869204	 1	 C_VG_11101993
 312	 1	 4	 870392	 1	 C_VG_11101993
 265	 1	 4	 871767	 1	 C_VG_11101993
 468	 1	 4	 873595	 1	 C_VG_11101993
 361	 1	 4	 875984	 1	 C_VG_11101993
 343	 1	 4	 877954	 1	 C_VG_11101993
 375	 1	 4	 879470	 1	 C_VG_11101993
 313	 2	 4	 880859	 1	 C_VG_11101993
 359	 1	 4	 883063	 1	 C_VG_11101993
 -99	 2	 -99	 884142	 1	 C_VG_11101993
 407	 1	 4	 885750	 1	 C_VG_11101993
 391	 1	 4	 887609	 1	 C_VG_11101993
 500	 1	 4	 888720	 1	 C_VG_11101993
 342	 1	 4	 890642	 1	 C_VG_11101993
 390	 1	 4	 891767	 1	 C_VG_11101993
 -99	 2	 -99	 894079	 1	 C_VG_11101993
 375	 1	 4	 895797	 1	 C_VG_11101993
 -99	 2	 -99	 896813	 1	 C_VG_11101993
 673	 1	 4	 898047	 1	 C_VG_11101993
 359	 1	 4	 899563	 1	 C_VG_11101993
 405	 1	 4	 900720	 1	 C_VG_11101993
 423	 1	 4	 902422	 1	 C_VG_11101993
 391	 1	 4	 903829	 1	 C_VG_11101993
 -99	 2	 -99	 906125	 1	 C_VG_11101993
 359	 1	 4	 907845	 1	 C_VG_11101993
 312	 1	 4	 909047	 1	 C_VG_11101993
 329	 1	 4	 911109	 1	 C_VG_11101993
 -99	 2	 -99	 912375	 1	 C_VG_11101993
 375	 1	 4	 914750	 1	 C_VG_11101993
 421	 1	 4	 915829	 1	 C_VG_11101993
 344	 1	 4	 917313	 1	 C_VG_11101993
 296	 1	 4	 918767	 1	 C_VG_11101993
 359	 1	 4	 920079	 1	 C_VG_11101993
 -99	 2	 -99	 921954	 1	 C_VG_11101993
 344	 1	 4	 923563	 1	 C_VG_11101993
 281	 1	 4	 924782	 1	 C_VG_11101993
 312	 1	 4	 927172	 1	 C_VG_11101993
 312	 1	 4	 928720	 1	 C_VG_11101993
 343	 1	 4	 930157	 1	 C_VG_11101993
 296	 1	 4	 931142	 1	 C_VG_11101993
 423	 1	 4	 933047	 1	 C_VG_11101993
 -99	 2	 -99	 934017	 1	 C_VG_11101993
 345	 1	 4	 935109	 1	 C_VG_11101993
 467	 1	 4	 936642	 1	 C_VG_11101993
 343	 1	 4	 937720	 1	 C_VG_11101993
 375	 1	 4	 939984	 1	 C_VG_11101993
 358	 1	 4	 940892	 1	 C_VG_11101993
 -99	 2	 -99	 942734	 1	 C_VG_11101993
 375	 1	 4	 944767	 1	 C_VG_11101993
 359	 1	 4	 945954	 1	 C_VG_11101993
 312	 1	 4	 947392	 1	 C_VG_11101993
 329	 1	 4	 949438	 1	 C_VG_11101993
 -99	 1	 -99	 951734	 1	 C_VG_11101993
 -99	 2	 -99	 953595	 1	 C_VG_11101993
 -99	 1	 -99	 955813	 1	 C_VG_11101993
 -99	 1	 -99	 957470	 1	 C_VG_11101993
 -99	 1	 -99	 958392	 1	 C_VG_11101993
 375	 1	 4	 960734	 1	 C_VG_11101993
 328	 1	 4	 962329	 1	 C_VG_11101993
 -99	 2	 -99	 963375	 1	 C_VG_11101993
 343	 1	 4	 965345	 1	 C_VG_11101993
 485	 1	 4	 966782	 1	 C_VG_11101993
 421	 1	 4	 967892	 1	 C_VG_11101993
 -99	 2	 -99	 968907	 1	 C_VG_11101993
 421	 1	 4	 48476	 1	 C_VS_
 298	 1	 4	 50881	 1	 C_VS_
 391	 1	 4	 52897	 1	 C_VS_
 220	 1	 4	 55131	 1	 C_VS_
 220	 1	 4	 56459	 1	 C_VS_
 250	 2	 4	 58413	 1	 C_VS_
 593	 1	 4	 59413	 1	 C_VS_
 609	 1	 4	 61038	 1	 C_VS_
 329	 1	 4	 63397	 1	 C_VS_
 343	 1	 4	 64429	 1	 C_VS_
 280	 1	 4	 65601	 1	 C_VS_
 328	 1	 4	 67256	 1	 C_VS_
 375	 1	 4	 69226	 1	 C_VS_
 -99	 2	 -99	 70554	 1	 C_VS_
 312	 1	 4	 72054	 1	 C_VS_
 250	 1	 4	 73959	 1	 C_VS_
 343	 1	 4	 75741	 1	 C_VS_
 -99	 2	 -99	 76772	 1	 C_VS_
 266	 1	 4	 78397	 1	 C_VS_
 345	 1	 4	 79818	 1	 C_VS_
 234	 1	 4	 81429	 1	 C_VS_
 266	 1	 4	 83818	 1	 C_VS_
 391	 1	 4	 85022	 1	 C_VS_
 296	 2	 4	 87147	 1	 C_VS_
 500	 1	 4	 89038	 1	 C_VS_
 329	 1	 4	 90318	 1	 C_VS_
 328	 1	 4	 92101	 1	 C_VS_
 -99	 2	 -99	 93818	 1	 C_VS_
 250	 1	 4	 95443	 1	 C_VS_
 -99	 2	 -99	 97772	 1	 C_VS_
 266	 1	 4	 100163	 1	 C_VS_
 280	 2	 4	 102038	 1	 C_VS_
 593	 1	 4	 103554	 1	 C_VS_
 -99	 2	 -99	 105101	 1	 C_VS_
 345	 1	 4	 106709	 1	 C_VS_
 423	 1	 4	 108881	 1	 C_VS_
 358	 1	 4	 111226	 1	 C_VS_
 390	 1	 4	 112991	 1	 C_VS_
 484	 1	 4	 114413	 1	 C_VS_
 266	 2	 4	 116381	 1	 C_VS_
 530	 1	 4	 118179	 1	 C_VS_
 391	 1	 4	 119663	 1	 C_VS_
 343	 1	 4	 120866	 1	 C_VS_
 -99	 2	 -99	 122772	 1	 C_VS_
 345	 1	 4	 123756	 1	 C_VS_
 296	 1	 4	 126101	 1	 C_VS_
 405	 1	 4	 127288	 1	 C_VS_
 328	 1	 4	 129506	 1	 C_VS_
 313	 1	 4	 130616	 1	 C_VS_
 250	 1	 4	 131897	 1	 C_VS_
 312	 1	 4	 133772	 1	 C_VS_
 297	 2	 4	 135834	 1	 C_VS_
 454	 1	 4	 136818	 1	 C_VS_
 578	 1	 4	 137881	 1	 C_VS_
 343	 1	 4	 138913	 1	 C_VS_
 -99	 2	 -99	 141163	 1	 C_VS_
 359	 1	 4	 142334	 1	 C_VS_
 609	 1	 4	 144554	 1	 C_VS_
 391	 1	 4	 146631	 1	 C_VS_
 359	 1	 4	 148804	 1	 C_VS_
 437	 1	 4	 149772	 1	 C_VS_
 -99	 2	 -99	 152131	 1	 C_VS_
 454	 1	 4	 153068	 1	 C_VS_
 296	 1	 4	 155288	 1	 C_VS_
 281	 1	 4	 157616	 1	 C_VS_
 296	 1	 4	 159288	 1	 C_VS_
 220	 1	 4	 161568	 1	 C_VS_
 375	 1	 4	 162834	 1	 C_VS_
 345	 1	 4	 164959	 1	 C_VS_
 280	 2	 4	 167038	 1	 C_VS_
 485	 1	 4	 167991	 1	 C_VS_
 500	 1	 4	 169116	 1	 C_VS_
 408	 1	 4	 170068	 1	 C_VS_
 -99	 2	 -99	 171241	 1	 C_VS_
 375	 1	 4	 173179	 1	 C_VS_
 375	 1	 4	 174976	 1	 C_VS_
 514	 1	 4	 176054	 1	 C_VS_
 702	 1	 4	 178116	 1	 C_VS_
 500	 1	 4	 179976	 1	 C_VS_
 391	 1	 4	 181443	 1	 C_VS_
 343	 1	 4	 182804	 1	 C_VS_
 -99	 2	 -99	 184429	 1	 C_VS_
 281	 1	 4	 186116	 1	 C_VS_
 296	 1	 4	 188226	 1	 C_VS_
 250	 1	 4	 190334	 1	 C_VS_
 -99	 2	 -99	 191381	 1	 C_VS_
 296	 1	 4	 192851	 1	 C_VS_
 327	 2	 4	 195179	 1	 C_VS_
 312	 1	 4	 197351	 1	 C_VS_
 298	 1	 4	 199131	 1	 C_VS_
 313	 1	 4	 201084	 1	 C_VS_
 250	 1	 4	 203193	 1	 C_VS_
 280	 1	 4	 204476	 1	 C_VS_
 344	 1	 4	 206272	 1	 C_VS_
 361	 1	 4	 208193	 1	 C_VS_
 -99	 2	 -99	 209726	 1	 C_VS_
 342	 1	 4	 211851	 1	 C_VS_
 297	 1	 4	 213304	 1	 C_VS_
 375	 1	 4	 215413	 1	 C_VS_
 391	 1	 4	 216913	 1	 C_VS_
 595	 1	 4	 260506	 1	 C_VS_
 250	 1	 4	 262193	 1	 C_VS_
 298	 1	 4	 264193	 1	 C_VS_
 -99	 2	 -99	 265679	 1	 C_VS_
 267	 1	 4	 267834	 1	 C_VS_
 297	 1	 4	 269366	 1	 C_VS_
 298	 1	 4	 271318	 1	 C_VS_
 359	 1	 4	 273709	 1	 C_VS_
 359	 1	 4	 275913	 1	 C_VS_
 -99	 2	 -99	 277147	 1	 C_VS_
 438	 1	 4	 279163	 1	 C_VS_
 437	 1	 4	 281381	 1	 C_VS_
 515	 1	 4	 282616	 1	 C_VS_
 -99	 2	 -99	 283976	 1	 C_VS_
 312	 1	 4	 285897	 1	 C_VS_
 437	 1	 4	 287226	 1	 C_VS_
 313	 1	 4	 289459	 1	 C_VS_
 375	 1	 4	 291476	 1	 C_VS_
 421	 1	 4	 293851	 1	 C_VS_
 -99	 2	 -99	 294851	 1	 C_VS_
 407	 1	 4	 296756	 1	 C_VS_
 359	 1	 4	 298788	 1	 C_VS_
 265	 1	 4	 300976	 1	 C_VS_
 327	 2	 4	 302429	 1	 C_VS_
 375	 1	 4	 304209	 1	 C_VS_
 -99	 1	 -99	 306443	 1	 C_VS_
 375	 1	 4	 307476	 1	 C_VS_
 344	 1	 4	 309772	 1	 C_VS_
 468	 1	 4	 311038	 1	 C_VS_
 407	 1	 4	 312756	 1	 C_VS_
 329	 1	 4	 314959	 1	 C_VS_
 313	 2	 4	 316866	 1	 C_VS_
 673	 1	 4	 318006	 1	 C_VS_
 -99	 1	 -99	 319272	 1	 C_VS_
 312	 1	 4	 321304	 1	 C_VS_
 -99	 1	 -99	 323318	 1	 C_VS_
 282	 1	 4	 325131	 1	 C_VS_
 312	 2	 4	 326881	 1	 C_VS_
 297	 1	 4	 328554	 1	 C_VS_
 343	 1	 4	 329741	 1	 C_VS_
 250	 1	 4	 330834	 1	 C_VS_
 282	 1	 4	 331834	 1	 C_VS_
 296	 1	 4	 332788	 1	 C_VS_
 345	 1	 4	 333709	 1	 C_VS_
 422	 1	 4	 334866	 1	 C_VS_
 -99	 2	 -99	 336647	 1	 C_VS_
 281	 1	 4	 338241	 1	 C_VS_
 312	 1	 4	 340522	 1	 C_VS_
 454	 1	 4	 341584	 1	 C_VS_
 392	 1	 4	 343709	 1	 C_VS_
 360	 1	 4	 344756	 1	 C_VS_
 313	 1	 4	 346491	 1	 C_VS_
 298	 1	 4	 347568	 1	 C_VS_
 -99	 2	 -99	 349647	 1	 C_VS_
 264	 1	 4	 351304	 1	 C_VS_
 345	 1	 4	 353631	 1	 C_VS_
 281	 1	 4	 354866	 1	 C_VS_
 265	 1	 4	 355851	 1	 C_VS_
 265	 1	 4	 357866	 1	 C_VS_
 312	 1	 4	 359476	 1	 C_VS_
 375	 1	 4	 361804	 1	 C_VS_
 -99	 2	 -99	 362851	 1	 C_VS_
 280	 1	 4	 365101	 1	 C_VS_
 -99	 2	 -99	 366381	 1	 C_VS_
 375	 1	 4	 367459	 1	 C_VS_
 579	 1	 4	 369568	 1	 C_VS_
 563	 1	 4	 370584	 1	 C_VS_
 312	 1	 4	 372256	 1	 C_VS_
 296	 1	 4	 373897	 1	 C_VS_
 250	 1	 4	 375881	 1	 C_VS_
 327	 1	 4	 377366	 1	 C_VS_
 -99	 2	 -99	 378443	 1	 C_VS_
 345	 1	 4	 380818	 1	 C_VS_
 328	 1	 4	 382538	 1	 C_VS_
 267	 1	 4	 384584	 1	 C_VS_
 -99	 2	 -99	 385631	 1	 C_VS_
 405	 1	 4	 387288	 1	 C_VS_
 250	 1	 4	 388929	 1	 C_VS_
 266	 1	 4	 390397	 1	 C_VS_
 327	 1	 4	 391491	 1	 C_VS_
 375	 1	 4	 393693	 1	 C_VS_
 296	 1	 4	 395288	 1	 C_VS_
 470	 1	 4	 396334	 1	 C_VS_
 -99	 2	 -99	 397491	 1	 C_VS_
 329	 1	 4	 398959	 1	 C_VS_
 312	 1	 4	 400929	 1	 C_VS_
 296	 1	 4	 403038	 1	 C_VS_
 329	 1	 4	 404397	 1	 C_VS_
 266	 1	 4	 405818	 1	 C_VS_
 265	 1	 4	 407476	 1	 C_VS_
 296	 1	 4	 409522	 1	 C_VS_
 -99	 2	 -99	 410476	 1	 C_VS_
 312	 1	 4	 411476	 1	 C_VS_
 265	 2	 4	 413726	 1	 C_VS_
 282	 1	 4	 415834	 1	 C_VS_
 375	 1	 4	 417459	 1	 C_VS_
 250	 1	 4	 419084	 1	 C_VS_
 297	 1	 4	 420304	 1	 C_VS_
 345	 1	 4	 422131	 1	 C_VS_
 391	 1	 4	 423163	 1	 C_VS_
 578	 1	 4	 661006	 1	 C_VS_
 -99	 2	 -99	 662601	 1	 C_VS_
 313	 1	 4	 664663	 1	 C_VS_
 233	 1	 4	 666851	 1	 C_VS_
 218	 1	 4	 668788	 1	 C_VS_
 220	 2	 4	 670318	 1	 C_VS_
 343	 1	 4	 672538	 1	 C_VS_
 218	 1	 4	 674679	 1	 C_VS_
 375	 1	 4	 675663	 1	 C_VS_
 345	 1	 4	 677193	 1	 C_VS_
 516	 1	 4	 679131	 1	 C_VS_
 -99	 2	 -99	 680538	 1	 C_VS_
 375	 1	 4	 681913	 1	 C_VS_
 312	 2	 4	 683851	 1	 C_VS_
 329	 1	 4	 686209	 1	 C_VS_
 343	 1	 4	 688116	 1	 C_VS_
 358	 1	 4	 690476	 1	 C_VS_
 389	 1	 4	 692429	 1	 C_VS_
 375	 1	 4	 694351	 1	 C_VS_
 -99	 2	 -99	 695913	 1	 C_VS_
 375	 1	 4	 697772	 1	 C_VS_
 391	 1	 4	 700006	 1	 C_VS_
 389	 1	 4	 701804	 1	 C_VS_
 -99	 2	 -99	 703538	 1	 C_VS_
 343	 1	 4	 705929	 1	 C_VS_
 375	 1	 4	 708241	 1	 C_VS_
 343	 1	 4	 710538	 1	 C_VS_
 484	 1	 4	 712084	 1	 C_VS_
 313	 1	 4	 714209	 1	 C_VS_
 -99	 2	 -99	 715304	 1	 C_VS_
 625	 1	 4	 716929	 1	 C_VS_
 250	 2	 4	 718834	 1	 C_VS_
 296	 1	 4	 720351	 1	 C_VS_
 392	 1	 4	 721959	 1	 C_VS_
 358	 1	 4	 723226	 1	 C_VS_
 467	 1	 4	 724851	 1	 C_VS_
 405	 1	 4	 726554	 1	 C_VS_
 266	 1	 4	 728881	 1	 C_VS_
 452	 1	 4	 730929	 1	 C_VS_
 -99	 2	 -99	 732241	 1	 C_VS_
 438	 1	 4	 733663	 1	 C_VS_
 343	 1	 4	 735241	 1	 C_VS_
 280	 1	 4	 736413	 1	 C_VS_
 329	 2	 4	 738334	 1	 C_VS_
 329	 1	 4	 740584	 1	 C_VS_
 345	 1	 4	 742568	 1	 C_VS_
 500	 1	 4	 743568	 1	 C_VS_
 -99	 2	 -99	 744679	 1	 C_VS_
 389	 1	 4	 746304	 1	 C_VS_
 483	 1	 4	 748101	 1	 C_VS_
 797	 1	 4	 749459	 1	 C_VS_
 437	 1	 4	 751631	 1	 C_VS_
 735	 1	 4	 752616	 1	 C_VS_
 -99	 2	 -99	 754006	 1	 C_VS_
 360	 1	 4	 755366	 1	 C_VS_
 250	 1	 4	 757288	 1	 C_VS_
 358	 1	 4	 758351	 1	 C_VS_
 312	 1	 4	 760601	 1	 C_VS_
 312	 1	 4	 761679	 1	 C_VS_
 -99	 2	 -99	 763943	 1	 C_VS_
 250	 1	 4	 766193	 1	 C_VS_
 266	 1	 4	 767131	 1	 C_VS_
 234	 1	 4	 768304	 1	 C_VS_
 283	 1	 4	 769568	 1	 C_VS_
 468	 1	 4	 771929	 1	 C_VS_
 -99	 2	 -99	 774147	 1	 C_VS_
 250	 1	 4	 776226	 1	 C_VS_
 405	 1	 4	 778538	 1	 C_VS_
 390	 1	 4	 779866	 1	 C_VS_
 407	 1	 4	 782006	 1	 C_VS_
 343	 1	 4	 783913	 1	 C_VS_
 -99	 2	 -99	 785804	 1	 C_VS_
 342	 1	 4	 787351	 1	 C_VS_
 313	 1	 4	 789584	 1	 C_VS_
 250	 1	 4	 791131	 1	 C_VS_
 297	 1	 4	 792241	 1	 C_VS_
 389	 1	 4	 794179	 1	 C_VS_
 -99	 2	 -99	 796241	 1	 C_VS_
 250	 1	 4	 798288	 1	 C_VS_
 266	 1	 4	 799913	 1	 C_VS_
 359	 1	 4	 801709	 1	 C_VS_
 282	 2	 4	 803881	 1	 C_VS_
 282	 1	 4	 805506	 1	 C_VS_
 280	 1	 4	 807054	 1	 C_VS_
 264	 1	 4	 809429	 1	 C_VS_
 -99	 2	 -99	 811131	 1	 C_VS_
 360	 1	 4	 812506	 1	 C_VS_
 -99	 2	 -99	 814772	 1	 C_VS_
 266	 1	 4	 817068	 1	 C_VS_
 -99	 2	 -99	 818522	 1	 C_VS_
 265	 1	 4	 820741	 1	 C_VS_
 485	 1	 4	 821991	 1	 C_VS_
 361	 1	 4	 824318	 1	 C_VS_
 -99	 2	 -99	 826397	 1	 C_VS_
 343	 1	 4	 828429	 1	 C_VS_
 296	 1	 4	 829851	 1	 C_VS_
 281	 1	 4	 832116	 1	 C_VS_
 500	 1	 4	 833116	 1	 C_VS_
 313	 1	 4	 835318	 1	 C_VS_
 -99	 2	 -99	 837726	 1	 C_VS_
 421	 1	 4	 47209	 1	 RFRC_25071995
 391	 1	 4	 48943	 1	 RFRC_25071995
 297	 1	 4	 50537	 1	 RFRC_25071995
 250	 1	 4	 52662	 1	 RFRC_25071995
 296	 1	 4	 54568	 1	 RFRC_25071995
 250	 1	 4	 55880	 1	 RFRC_25071995
 266	 1	 4	 57568	 1	 RFRC_25071995
 -99	 2	 -99	 59880	 1	 RFRC_25071995
 266	 1	 4	 61802	 1	 RFRC_25071995
 406	 1	 4	 64162	 1	 RFRC_25071995
 266	 1	 4	 66193	 1	 RFRC_25071995
 -99	 2	 -99	 67537	 1	 RFRC_25071995
 250	 1	 4	 69537	 1	 RFRC_25071995
 -99	 2	 -99	 70568	 1	 RFRC_25071995
 250	 1	 4	 72068	 1	 RFRC_25071995
 264	 1	 4	 73725	 1	 RFRC_25071995
 265	 1	 4	 75162	 1	 RFRC_25071995
 -99	 2	 -99	 76834	 1	 RFRC_25071995
 234	 1	 4	 78209	 1	 RFRC_25071995
 250	 1	 4	 79537	 1	 RFRC_25071995
 250	 1	 4	 81630	 1	 RFRC_25071995
 -99	 2	 -99	 83459	 1	 RFRC_25071995
 250	 1	 4	 85350	 1	 RFRC_25071995
 282	 1	 4	 86505	 1	 RFRC_25071995
 266	 1	 4	 88209	 1	 RFRC_25071995
 266	 1	 4	 89739	 1	 RFRC_25071995
 282	 1	 4	 91552	 1	 RFRC_25071995
 -99	 2	 -99	 93647	 1	 RFRC_25071995
 250	 1	 4	 96005	 1	 RFRC_25071995
 313	 1	 4	 96989	 1	 RFRC_25071995
 250	 1	 4	 99380	 1	 RFRC_25071995
 266	 1	 4	 100677	 1	 RFRC_25071995
 234	 1	 4	 102334	 1	 RFRC_25071995
 280	 1	 4	 103584	 1	 RFRC_25071995
 267	 1	 4	 105380	 1	 RFRC_25071995
 -99	 2	 -99	 106850	 1	 RFRC_25071995
 265	 1	 4	 109147	 1	 RFRC_25071995
 282	 1	 4	 110677	 1	 RFRC_25071995
 -99	 1	 -99	 112052	 1	 RFRC_25071995
 -99	 2	 -99	 114005	 1	 RFRC_25071995
 296	 1	 4	 115147	 1	 RFRC_25071995
 250	 1	 4	 117318	 1	 RFRC_25071995
 375	 1	 4	 119614	 1	 RFRC_25071995
 -99	 2	 -99	 120739	 1	 RFRC_25071995
 250	 1	 4	 123037	 1	 RFRC_25071995
 312	 1	 4	 123975	 1	 RFRC_25071995
 235	 1	 4	 125427	 1	 RFRC_25071995
 297	 1	 4	 127787	 1	 RFRC_25071995
 297	 1	 4	 129662	 1	 RFRC_25071995
 234	 1	 4	 131380	 1	 RFRC_25071995
 234	 1	 4	 132975	 1	 RFRC_25071995
 -99	 2	 -99	 135100	 1	 RFRC_25071995
 298	 1	 4	 136052	 1	 RFRC_25071995
 -99	 2	 -99	 138427	 1	 RFRC_25071995
 235	 1	 4	 140052	 1	 RFRC_25071995
 250	 1	 4	 141834	 1	 RFRC_25071995
 296	 1	 4	 143272	 1	 RFRC_25071995
 267	 1	 4	 144880	 1	 RFRC_25071995
 267	 1	 4	 146255	 1	 RFRC_25071995
 -99	 2	 -99	 147505	 1	 RFRC_25071995
 312	 1	 4	 149850	 1	 RFRC_25071995
 264	 1	 4	 150975	 1	 RFRC_25071995
 233	 1	 4	 153272	 1	 RFRC_25071995
 218	 1	 4	 154725	 1	 RFRC_25071995
 264	 1	 4	 156850	 1	 RFRC_25071995
 -99	 2	 -99	 158943	 1	 RFRC_25071995
 266	 1	 4	 161302	 1	 RFRC_25071995
 329	 1	 4	 162318	 1	 RFRC_25071995
 250	 1	 4	 164147	 1	 RFRC_25071995
 250	 1	 4	 165693	 1	 RFRC_25071995
 250	 1	 4	 166725	 1	 RFRC_25071995
 1500	 2	 4	 168037	 1	 RFRC_25071995
 406	 1	 4	 169912	 1	 RFRC_25071995
 266	 1	 4	 172052	 1	 RFRC_25071995
 329	 1	 4	 174318	 1	 RFRC_25071995
 -99	 2	 -99	 176709	 1	 RFRC_25071995
 296	 1	 4	 178834	 1	 RFRC_25071995
 359	 1	 4	 180100	 1	 RFRC_25071995
 265	 1	 4	 181272	 1	 RFRC_25071995
 280	 1	 4	 182397	 1	 RFRC_25071995
 282	 1	 4	 183318	 1	 RFRC_25071995
 -99	 2	 -99	 185239	 1	 RFRC_25071995
 282	 1	 4	 186177	 1	 RFRC_25071995
 -99	 2	 -99	 188443	 1	 RFRC_25071995
 296	 1	 4	 190147	 1	 RFRC_25071995
 250	 1	 4	 191489	 1	 RFRC_25071995
 266	 1	 4	 193864	 1	 RFRC_25071995
 264	 1	 4	 194850	 1	 RFRC_25071995
 233	 1	 4	 197022	 1	 RFRC_25071995
 -99	 2	 -99	 198209	 1	 RFRC_25071995
 265	 1	 4	 200272	 1	 RFRC_25071995
 296	 1	 4	 201959	 1	 RFRC_25071995
 280	 1	 4	 203475	 1	 RFRC_25071995
 280	 1	 4	 205850	 1	 RFRC_25071995
 264	 1	 4	 207350	 1	 RFRC_25071995
 281	 1	 4	 209662	 1	 RFRC_25071995
 312	 1	 4	 211693	 1	 RFRC_25071995
 -99	 2	 -99	 212989	 1	 RFRC_25071995
 250	 1	 4	 214272	 1	 RFRC_25071995
 265	 1	 4	 215272	 1	 RFRC_25071995
 343	 1	 4	 282725	 1	 RFRC_25071995
 328	 1	 4	 283834	 1	 RFRC_25071995
 282	 1	 4	 285880	 1	 RFRC_25071995
 266	 1	 4	 287114	 1	 RFRC_25071995
 250	 1	 4	 289334	 1	 RFRC_25071995
 -99	 2	 -99	 290943	 1	 RFRC_25071995
 327	 1	 4	 292350	 1	 RFRC_25071995
 329	 1	 4	 294255	 1	 RFRC_25071995
 282	 1	 4	 296427	 1	 RFRC_25071995
 280	 1	 4	 297522	 1	 RFRC_25071995
 250	 1	 4	 299193	 1	 RFRC_25071995
 -99	 2	 -99	 301037	 1	 RFRC_25071995
 250	 1	 4	 302662	 1	 RFRC_25071995
 266	 1	 4	 304989	 1	 RFRC_25071995
 250	 1	 4	 306052	 1	 RFRC_25071995
 -99	 2	 -99	 307709	 1	 RFRC_25071995
 250	 1	 4	 309287	 1	 RFRC_25071995
 296	 1	 4	 311459	 1	 RFRC_25071995
 250	 1	 4	 313412	 1	 RFRC_25071995
 250	 1	 4	 314568	 1	 RFRC_25071995
 282	 1	 4	 316818	 1	 RFRC_25071995
 -99	 2	 -99	 317975	 1	 RFRC_25071995
 266	 1	 4	 319209	 1	 RFRC_25071995
 -99	 2	 -99	 321302	 1	 RFRC_25071995
 250	 1	 4	 322818	 1	 RFRC_25071995
 283	 1	 4	 324364	 1	 RFRC_25071995
 281	 1	 4	 325287	 1	 RFRC_25071995
 266	 1	 4	 326193	 1	 RFRC_25071995
 280	 1	 4	 328459	 1	 RFRC_25071995
 250	 1	 4	 329850	 1	 RFRC_25071995
 266	 1	 4	 330943	 1	 RFRC_25071995
 -99	 2	 -99	 332975	 1	 RFRC_25071995
