"","onset","duration","value","response","rt","good","SU","misport_code","misport_port","misport_time","misport_time_error","seq"
"87",158.2264,1,10,1,355,1,1,0,0,0,0,3
"88",159.2763,1,10,1,377.3,1,1,0,0,0,0,4
"89",160.593,1,10,1,468.8,1,1,0,0,0,0,5
"90",162.3095,1,21,-99,-99,1,1,0,0,0,0,0
"91",165.6427,1,10,1,315.9,1,1,0,0,0,0,1
"92",166.9093,1,10,1,265.5,1,1,0,0,0,0,2
"93",168.0593,1,10,1,411.7,1,1,0,0,0,0,3
"94",169.6259,1,10,1,269.3,1,1,0,0,0,0,4
"95",170.8425,1,10,1,412.9,1,1,0,0,0,0,5
"96",172.5424,1,10,1,441.3,1,1,0,0,0,0,6
"97",173.6757,1,10,1,444.2,1,1,0,0,0,0,7
"98",175.3757,1,21,-99,-99,1,1,0,0,0,0,0
"99",177.0756,1,10,1,292.8,1,1,0,0,0,0,1
"100",178.1755,1,10,1,457,1,1,0,0,0,0,2
"101",179.8921,1,10,-99,-99,1,1,0,0,0,0,3
"102",181.2087,1,10,1,272.3,1,1,0,0,0,0,4
"103",182.642,1,10,1,263.2,1,1,0,0,0,0,5
"104",184.1253,1,10,1,316.2,1,1,0,0,0,0,6
"105",185.7086,1,10,1,317.2,1,1,0,0,0,0,7
"106",186.9585,1,21,-99,-99,1,1,0,0,0,0,0
"107",188.2084,1,10,1,409.7,1,1,0,0,0,0,1
"108",189.875,1,10,1,423.4,1,1,0,0,0,0,2
"109",190.9083,1,10,1,446.3,1,1,0,0,0,0,3
"110",191.9916,1,21,-99,-99,1,1,0,0,0,0,0
"111",193.0749,1,10,1,280,1,1,0,0,0,0,1
"112",194.8915,1,10,1,271.7,1,1,0,0,0,0,2
"113",196.2414,1,10,1,378,1,1,0,0,0,0,3
"114",197.4914,1,10,1,552.2,1,1,0,0,0,0,4
"115",198.7913,1,10,1,420.5,1,1,0,0,0,0,5
"116",200.5079,1,21,-99,-99,1,1,0,0,0,0,0
"117",202.2245,1,10,1,331.8,1,1,0,0,0,0,1
"118",203.7411,1,10,1,415.5,1,1,0,0,0,0,2
"119",204.9077,1,10,1,369,1,1,0,0,0,0,3
"120",206.4077,1,10,1,389.3,1,1,0,0,0,0,4
"121",209.1242,1,10,1,617.2,1,1,0,0,0,0,5
"122",210.2075,1,21,-99,-99,1,1,0,0,0,0,0
"123",211.2908,1,10,1,306.9,1,1,0,0,0,0,1
"124",212.3741,1,10,1,407.8,1,1,0,0,0,0,2
"125",214.0073,1,10,1,374.9,1,1,0,0,0,0,3
"126",215.174,1,10,1,360.3,1,1,0,0,0,0,4
"127",216.5572,1,10,1,321.3,1,1,0,0,0,0,5
"128",217.9905,1,10,1,360.3,1,1,0,0,0,0,6
"129",219.7904,1,10,1,336.7,1,1,0,0,0,0,7
"130",221.257,1,21,-99,-99,1,1,0,0,0,0,0
"131",222.7403,1,10,1,347.2,1,1,0,0,0,0,1
"132",223.9569,1,10,1,362.8,1,1,0,0,0,0,2
"133",225.5068,1,10,1,397.1,1,1,0,0,0,0,3
"134",226.8401,1,21,-99,-99,1,1,0,0,0,0,0
"135",228.1734,1,10,1,322.9,1,1,0,0,0,0,1
"136",229.4567,1,21,-99,-99,1,1,0,0,0,0,0
"137",230.74,1,10,1,268.7,1,1,0,0,0,0,1
"138",232.5232,1,10,1,405.9,1,1,0,0,0,0,2
"139",234.1898,1,10,1,307.5,1,1,0,0,0,0,3
"140",235.2398,1,10,1,393.6,1,1,0,0,0,0,4
"141",236.7231,1,10,1,334.6,1,1,0,0,0,0,5
