"","rt","est","resp","laten","good","acu","seq","subN","Age","Sex"
"108",546.8,12,2,328837.2,1,1,4,1,31,"M"
"109",598.7,12,3,331381.5,1,1,5,1,31,"M"
"110",608.5,12,2,334690.7,1,1,6,1,31,"M"
"111",668.7,12,3,336952.2,1,0,7,1,31,"M"
"112",653.9,12,2,339213.8,1,1,8,1,31,"M"
"113",505.8,11,2,341724.7,1,1,1,1,31,"M"
"114",410.7,11,2,345250.1,1,1,2,1,31,"M"
"115",433,11,2,347428.5,1,1,3,1,31,"M"
"116",620.2,12,3,350105.8,1,1,1,1,31,"M"
"117",591.8,12,3,353148.9,1,1,2,1,31,"M"
"118",1070.5,12,2,356009.1,1,0,3,1,31,"M"
"119",896.5,12,2,358786.2,1,0,4,1,31,"M"
"120",628,12,1,362178.5,1,1,5,1,31,"M"
"121",669,12,1,364423.4,1,0,6,1,31,"M"
"122",611.6,12,3,367649.4,1,1,7,1,31,"M"
"123",383.9,11,1,370343.3,1,1,1,1,31,"M"
"124",400.1,11,2,373785.6,1,1,2,1,31,"M"
"125",403.8,11,3,377177.9,1,1,3,1,31,"M"
"126",440.8,11,2,379821.9,1,1,4,1,31,"M"
"127",392.8,11,1,383646.6,1,1,5,1,31,"M"
"128",383.4,11,2,387205.2,1,1,6,1,31,"M"
"129",772.5,12,2,390880.2,1,1,1,1,31,"M"
"130",531.7,12,3,394355.7,1,0,2,1,31,"M"
"131",606.9,12,2,397548.5,1,1,3,1,31,"M"
"132",522.8,12,2,400608.2,1,1,4,1,31,"M"
"133",441.6,11,2,402986.2,1,1,1,1,31,"M"
"134",334.7,11,1,405713.3,1,1,2,1,31,"M"
"135",472.6,11,1,407742.1,1,1,3,1,31,"M"
"136",639.2,12,2,410901.6,1,1,1,1,31,"M"
"137",596.9,12,2,413994.6,1,1,2,1,31,"M"
"138",527.2,12,2,416106.5,1,1,3,1,31,"M"
"139",578.5,12,1,418018.8,1,1,4,1,31,"M"
"140",795,12,2,420529.8,1,0,5,1,31,"M"
"141",656.3,11,3,423706,1,1,1,1,31,"M"
"142",393.9,11,3,425984.2,1,1,2,1,31,"M"
"143",478.3,11,1,428811.1,1,1,3,1,31,"M"
"144",354.1,11,1,432519.4,1,1,4,1,31,"M"
"145",939.3,12,1,435379.6,1,0,1,1,31,"M"
"146",870,12,2,437907.2,1,0,2,1,31,"M"
"147",546,12,3,440833.9,1,1,3,1,31,"M"
"148",522.4,12,2,443228.5,1,1,4,1,31,"M"
"149",485.1,12,1,446920.2,1,1,5,1,31,"M"
"150",449.8,12,1,449930,1,1,6,1,31,"M"
"151",414.5,11,3,453222.6,1,1,1,1,31,"M"
"152",397.4,11,3,455866.6,1,1,2,1,31,"M"
"153",312.8,11,1,459026.1,1,1,3,1,31,"M"
"154",365.2,11,1,462568.1,1,1,4,1,31,"M"
"155",335.4,11,2,465395,1,1,5,1,31,"M"
"156",338.4,11,3,467856.1,1,1,6,1,31,"M"
"157",323,11,1,471281.7,1,1,7,1,31,"M"
"158",380.7,11,3,475006.6,1,1,8,1,31,"M"
"159",915.1,12,3,478648.4,1,0,1,1,31,"M"
"160",527.2,12,2,482290.2,1,1,2,1,31,"M"
"161",434.6,12,3,484568.3,1,1,3,1,31,"M"
"162",817,12,3,488126.9,1,1,4,1,31,"M"
"163",527.9,12,1,490438.4,1,1,5,1,31,"M"
"164",438.8,12,1,494096.8,1,1,6,1,31,"M"
"165",593.2,12,2,496441.5,1,1,7,1,31,"M"
"166",499.8,11,2,499401.4,1,1,1,1,31,"M"
"167",393.6,11,3,502461.2,1,1,2,1,31,"M"
"168",443.6,11,2,505903.4,1,1,3,1,31,"M"
"169",469.2,11,3,508015.3,1,1,4,1,31,"M"
"170",385.4,11,3,510709.2,1,1,5,1,31,"M"
"171",438.1,11,1,512821.1,1,1,6,1,31,"M"
"172",352.9,11,1,515914.1,1,1,7,1,31,"M"
"173",863.4,12,2,518208.9,1,0,1,1,31,"M"
"174",405.2,12,2,521318.5,1,1,2,1,31,"M"
"175",688.9,12,2,523546.8,1,1,3,1,31,"M"
"176",488,12,1,526706.4,1,1,4,1,31,"M"
"177",533.8,12,3,530098.7,1,1,5,1,31,"M"
"178",1011.6,12,2,532792.6,1,0,6,1,31,"M"
"179",444.3,11,3,534887.9,1,1,1,1,31,"M"
"180",419.1,11,3,537681.5,1,1,2,1,31,"M"
"181",394.2,11,2,540624.9,1,1,3,1,31,"M"
"182",419.6,12,1,544299.9,1,0,1,1,31,"M"
"183",553,12,2,548174.5,1,0,2,1,31,"M"
"184",963.9,12,2,550735.3,1,0,3,1,31,"M"
"185",685,12,3,552764.1,1,1,4,1,31,"M"
"186",635.9,12,3,555940.2,1,1,5,1,31,"M"
"187",520.3,12,1,557835.9,1,1,6,1,31,"M"
"188",420.8,12,1,560164,1,1,7,1,31,"M"
"189",987.6,12,2,562375.7,1,0,8,1,31,"M"
"190",495.6,11,3,565169.4,1,1,1,1,31,"M"
"191",373.7,11,2,568661.5,1,1,2,1,31,"M"
"192",396.5,11,1,571421.9,1,1,3,1,31,"M"
"193",397.6,11,3,573849.7,1,1,4,1,31,"M"
"194",385.4,11,2,576177.8,1,1,5,1,31,"M"
"195",939.5,12,3,579087.9,1,0,1,1,31,"M"
"196",1034.7,12,2,582114.4,1,0,2,1,31,"M"
"197",835.5,12,2,585589.8,1,1,3,1,31,"M"
"198",597.6,12,1,589314.7,1,1,4,1,31,"M"
"199",409.5,11,3,592973.1,1,1,1,1,31,"M"
"200",391.6,11,2,595234.7,1,1,2,1,31,"M"
"201",436.3,11,3,598876.5,1,1,3,1,31,"M"
"202",365,11,1,602052.6,1,1,4,1,31,"M"
"203",1061.5,12,3,605777.5,1,0,1,1,31,"M"
"204",453.4,12,1,607856.1,1,1,2,1,31,"M"
"205",465.1,12,2,611664.2,1,1,3,1,31,"M"
"206",648.5,12,2,614940.1,1,1,4,1,31,"M"
"207",509.8,12,1,616919,1,1,5,1,31,"M"
"208",422.4,11,2,618981,1,1,1,1,31,"M"
"209",382.6,11,1,622273.5,1,1,2,1,31,"M"
"210",382.8,11,1,625682.5,1,1,3,1,31,"M"
"211",413.2,11,3,628376.4,1,1,4,1,31,"M"
"212",418.2,11,3,632201.1,1,1,5,1,31,"M"
"213",381.5,11,1,634928.2,1,1,6,1,31,"M"
"214",392.9,11,3,637672,1,1,7,1,31,"M"
"215",504,11,3,639634.3,1,1,8,1,31,"M"
"216",688.4,12,1,641979,1,0,1,1,31,"M"
"217",604.9,12,2,645188.4,1,1,2,1,31,"M"
"218",468.3,12,1,648613.9,1,1,3,1,31,"M"
"219",402.4,11,1,650742.5,1,1,1,1,31,"M"
"220",368.3,11,3,652854.4,1,1,2,1,31,"M"
"221",382.5,11,1,656529.4,1,1,3,1,31,"M"
"222",404.8,11,2,660121.3,1,1,4,1,31,"M"
"223",369.3,11,2,663912.7,1,1,5,1,31,"M"
"224",365.4,11,3,667238.5,1,1,6,1,31,"M"
"225",806.4,12,2,669949,1,0,1,1,31,"M"
"226",952,12,3,671828.1,1,0,2,1,31,"M"
"227",729.7,12,3,673989.9,1,1,3,1,31,"M"
"228",851,12,2,677232.5,1,0,4,1,31,"M"
"229",789.5,12,2,680624.9,1,0,5,1,31,"M"
"230",696.8,12,2,682886.4,1,1,6,1,31,"M"
"231",785.1,12,3,685912.9,1,1,7,1,31,"M"
"232",428.9,11,1,689737.6,1,1,1,1,31,"M"
"233",453.6,11,2,691606.8,1,1,2,1,31,"M"
"234",348.6,11,2,694210.8,1,1,3,1,31,"M"
"235",360.1,11,3,697120.9,1,1,4,1,31,"M"
"236",380.3,11,1,700263.8,1,1,5,1,31,"M"
"237",341.3,11,1,703589.6,1,1,6,1,31,"M"
"238",637.4,12,2,706433.2,1,1,1,1,31,"M"
"239",585.1,12,1,709010.7,1,1,2,1,31,"M"
"240",603.6,12,2,711322.1,1,1,3,1,31,"M"
"241",497.6,12,2,713583.7,1,1,4,1,31,"M"
"242",617.9,12,2,715629,1,1,5,1,31,"M"
"243",452.1,11,2,717691,1,1,1,1,31,"M"
"244",401.9,11,1,721299.6,1,1,2,1,31,"M"
"245",355.5,11,3,724226.3,1,1,3,1,31,"M"
"246",475.4,11,1,726970.1,1,1,4,1,31,"M"
"247",354.8,11,3,729963.3,1,1,5,1,31,"M"
"248",420.1,11,3,732823.5,1,1,6,1,31,"M"
"249",384.3,11,1,735683.7,1,1,7,1,31,"M"
"250",874.3,12,3,737795.6,1,0,1,1,31,"M"
"251",862.5,12,2,740472.8,1,0,2,1,31,"M"
"252",548.6,12,1,743516,1,1,3,1,31,"M"
"253",498.2,11,1,745578,1,1,1,1,31,"M"
"254",412.1,11,1,748986.9,1,1,2,1,31,"M"
"255",374,11,1,751730.7,1,1,3,1,31,"M"
"256",364.2,11,1,754724,1,1,4,1,31,"M"
"257",419.7,11,2,758149.5,1,1,5,1,31,"M"
"258",431.9,11,2,760743.7,1,1,6,1,31,"M"
"259",390.1,11,1,764285.7,1,1,7,1,31,"M"
"260",357,11,1,767229,1,1,8,1,31,"M"
"261",596.7,12,2,770687.9,1,1,1,1,31,"M"
"262",691.3,12,3,773681.1,1,1,2,1,31,"M"
"263",654.5,12,2,775643.3,1,1,3,1,31,"M"
"264",383,12,1,779118.8,1,1,4,1,31,"M"
"265",421.8,11,3,782161.9,1,1,1,1,31,"M"
"266",404.3,11,3,785171.7,1,1,2,1,31,"M"
"267",370.5,11,1,788830.1,1,1,3,1,31,"M"
"268",457.5,11,3,790792.4,1,1,4,1,31,"M"
"269",75.6,11,3,792937.5,1,1,5,1,31,"M"
"270",467.5,11,2,796280,1,1,6,1,31,"M"
"271",397.2,11,1,798691.2,1,1,7,1,31,"M"
"272",779.2,12,1,801451.6,1,1,1,1,31,"M"
"273",551.9,12,2,805093.4,1,1,2,1,31,"M"
"274",423.1,12,1,807737.4,1,1,3,1,31,"M"
"275",520,12,1,811379.1,1,0,4,1,31,"M"
"276",423.9,11,1,814322.5,1,1,1,1,31,"M"
"277",420.3,11,3,817265.8,1,1,2,1,31,"M"
"278",389.6,11,1,819577.3,1,1,3,1,31,"M"
"279",445.7,11,1,821489.6,1,1,4,1,31,"M"
"280",403,11,1,824615.9,1,1,5,1,31,"M"
"281",877.3,12,2,828290.9,1,0,1,1,31,"M"
"282",557.1,12,1,831201,1,1,2,1,31,"M"
"283",617.5,12,2,833080.1,1,1,3,1,31,"M"
"284",762.5,12,3,836256.2,1,1,4,1,31,"M"
"285",454.3,12,3,838135.3,1,1,5,1,31,"M"
"286",434.1,12,3,840978.9,1,1,6,1,31,"M"
"287",526.3,11,3,844803.5,1,1,1,1,31,"M"
"288",351,11,2,848245.7,1,1,2,1,31,"M"
"289",389,11,3,851139.2,1,1,3,1,31,"M"
"290",358.6,11,3,853883,1,1,4,1,31,"M"
"291",371.3,11,3,857192.2,1,1,5,1,31,"M"
"292",381,11,3,860019.1,1,1,6,1,31,"M"
"293",420.2,11,3,863311.7,1,1,7,1,31,"M"
"294",389.8,11,3,866388,1,1,8,1,31,"M"
"295",656.7,12,2,869264.9,1,1,1,1,31,"M"
"296",608.9,12,1,871908.9,1,1,2,1,31,"M"
"297",826.5,12,2,875367.7,1,0,3,1,31,"M"
"298",679.2,11,2,15562.5,1,1,1,2,24,"F"
"299",634.1,11,1,19171,1,1,2,2,24,"F"
"300",472,11,3,21848.2,1,1,3,2,24,"F"
"301",679.9,12,2,24342.6,1,1,1,2,24,"F"
"302",771.1,12,3,27535.4,1,1,2,2,24,"F"
"303",789.6,12,2,29896.7,1,1,3,2,24,"F"
"304",687.6,12,3,33222.5,1,1,4,2,24,"F"
"305",526.1,12,3,36864.3,1,1,5,2,24,"F"
"306",695.7,12,2,39807.6,1,1,6,2,24,"F"
"307",635.3,11,2,43582.4,1,1,1,2,24,"F"
"308",480,11,3,45877.2,1,1,2,2,24,"F"
"309",411.3,11,3,48571.1,1,1,3,2,24,"F"
"310",438.7,11,3,50915.8,1,1,4,2,24,"F"
"311",455.5,11,3,54058.7,1,1,5,2,24,"F"
"312",615,11,1,57933.3,1,1,6,2,24,"F"
"313",534,11,2,60876.6,1,1,7,2,24,"F"
"314",618.1,12,1,63055.1,1,1,1,2,24,"F"
"315",679.6,12,1,65532.8,1,1,2,2,24,"F"
"316",665.5,12,2,68077,1,1,3,2,24,"F"
"317",608.2,12,1,71818.6,1,1,4,2,24,"F"
"318",561.2,11,1,74612.2,1,1,1,2,24,"F"
"319",571.3,11,2,77938,1,1,2,2,24,"F"
"320",543.6,11,2,81097.6,1,1,3,2,24,"F"
"321",491.9,11,1,83874.6,1,1,4,2,24,"F"
