 rt 	  est 	  resp 	  laten 	  good 	  acu 	  seq 	  subID 	  subN 
 541.2	 12	 2	 252543.1	 1	 1	 4	 BAMF_22091986	 1
 617.1	 12	 2	 255303.5	 1	 1	 5	 BAMF_22091986	 1
 531.5	 12	 3	 258679.3	 1	 1	 6	 BAMF_22091986	 1
 398.2	 11	 1	 261057.2	 1	 1	 1	 BAMF_22091986	 1
 371.7	 11	 1	 263967.3	 1	 1	 2	 BAMF_22091986	 1
 348.5	 11	 1	 267027	 1	 1	 3	 BAMF_22091986	 1
 387.9	 11	 3	 270219.8	 1	 1	 4	 BAMF_22091986	 1
 400.1	 11	 3	 273346.1	 1	 1	 5	 BAMF_22091986	 1
 400.1	 11	 2	 276788.3	 1	 1	 6	 BAMF_22091986	 1
 380.1	 11	 2	 279715	 1	 1	 7	 BAMF_22091986	 1
 598.1	 12	 3	 283057.4	 1	 1	 1	 BAMF_22091986	 1
 750	 12	 1	 285435.4	 1	 0	 2	 BAMF_22091986	 1
 631.2	 12	 2	 289143.7	 1	 1	 3	 BAMF_22091986	 1
 438.1	 12	 2	 291405.2	 1	 1	 4	 BAMF_22091986	 1
 385.9	 12	 2	 294963.8	 1	 1	 5	 BAMF_22091986	 1
 456.4	 12	 3	 297873.9	 1	 0	 6	 BAMF_22091986	 1
 628.4	 12	 1	 301100	 1	 1	 7	 BAMF_22091986	 1
 541.4	 12	 1	 304459	 1	 1	 8	 BAMF_22091986	 1
 437.6	 11	 1	 306770.5	 1	 1	 1	 BAMF_22091986	 1
 368.2	 11	 3	 310412.2	 1	 1	 2	 BAMF_22091986	 1
 391.4	 11	 1	 313654.9	 1	 1	 3	 BAMF_22091986	 1
 379.7	 11	 1	 316648.1	 1	 1	 4	 BAMF_22091986	 1
 369.5	 11	 3	 320123.6	 1	 1	 5	 BAMF_22091986	 1
 826.2	 12	 2	 322085.8	 1	 0	 1	 BAMF_22091986	 1
 582.8	 12	 1	 323998.2	 1	 1	 2	 BAMF_22091986	 1
 630.5	 12	 2	 326525.8	 1	 1	 3	 BAMF_22091986	 1
 546.8	 12	 2	 328837.2	 1	 1	 4	 BAMF_22091986	 1
 598.7	 12	 3	 331381.5	 1	 1	 5	 BAMF_22091986	 1
 608.5	 12	 2	 334690.7	 1	 1	 6	 BAMF_22091986	 1
 668.7	 12	 3	 336952.2	 1	 0	 7	 BAMF_22091986	 1
 653.9	 12	 2	 339213.8	 1	 1	 8	 BAMF_22091986	 1
 505.8	 11	 2	 341724.7	 1	 1	 1	 BAMF_22091986	 1
 410.7	 11	 2	 345250.1	 1	 1	 2	 BAMF_22091986	 1
 433	 11	 2	 347428.5	 1	 1	 3	 BAMF_22091986	 1
 620.2	 12	 3	 350105.8	 1	 1	 1	 BAMF_22091986	 1
 591.8	 12	 3	 353148.9	 1	 1	 2	 BAMF_22091986	 1
 1070.5	 12	 2	 356009.1	 1	 0	 3	 BAMF_22091986	 1
 896.5	 12	 2	 358786.2	 1	 0	 4	 BAMF_22091986	 1
 628	 12	 1	 362178.5	 1	 1	 5	 BAMF_22091986	 1
 669	 12	 1	 364423.4	 1	 0	 6	 BAMF_22091986	 1
 611.6	 12	 3	 367649.4	 1	 1	 7	 BAMF_22091986	 1
 383.9	 11	 1	 370343.3	 1	 1	 1	 BAMF_22091986	 1
 400.1	 11	 2	 373785.6	 1	 1	 2	 BAMF_22091986	 1
 403.8	 11	 3	 377177.9	 1	 1	 3	 BAMF_22091986	 1
 440.8	 11	 2	 379821.9	 1	 1	 4	 BAMF_22091986	 1
 392.8	 11	 1	 383646.6	 1	 1	 5	 BAMF_22091986	 1
 383.4	 11	 2	 387205.2	 1	 1	 6	 BAMF_22091986	 1
 772.5	 12	 2	 390880.2	 1	 1	 1	 BAMF_22091986	 1
 531.7	 12	 3	 394355.7	 1	 0	 2	 BAMF_22091986	 1
 606.9	 12	 2	 397548.5	 1	 1	 3	 BAMF_22091986	 1
 522.8	 12	 2	 400608.2	 1	 1	 4	 BAMF_22091986	 1
 441.6	 11	 2	 402986.2	 1	 1	 1	 BAMF_22091986	 1
 334.7	 11	 1	 405713.3	 1	 1	 2	 BAMF_22091986	 1
 472.6	 11	 1	 407742.1	 1	 1	 3	 BAMF_22091986	 1
 639.2	 12	 2	 410901.6	 1	 1	 1	 BAMF_22091986	 1
 596.9	 12	 2	 413994.6	 1	 1	 2	 BAMF_22091986	 1
 527.2	 12	 2	 416106.5	 1	 1	 3	 BAMF_22091986	 1
 578.5	 12	 1	 418018.8	 1	 1	 4	 BAMF_22091986	 1
 795	 12	 2	 420529.8	 1	 0	 5	 BAMF_22091986	 1
 656.3	 11	 3	 423706	 1	 1	 1	 BAMF_22091986	 1
