 rt 	  est 	  resp 	  laten 	  good 	  acu 	  seq 	  subID 	  subN 
 681.3	 12	 1	 246963.8	 1	 1	 4	 ACRC_11051992	 1
 697.9	 12	 2	 250379.2	 1	 1	 5	 ACRC_11051992	 1
 890.4	 12	 3	 253794.7	 1	 1	 6	 ACRC_11051992	 1
 620.5	 12	 1	 256480.6	 1	 1	 7	 ACRC_11051992	 1
 521.1	 11	 1	 258636	 1	 1	 1	 ACRC_11051992	 1
 468	 11	 1	 261753.1	 1	 1	 2	 ACRC_11051992	 1
 658.4	 11	 3	 263858.7	 1	 1	 3	 ACRC_11051992	 1
 538.2	 11	 2	 266378.9	 1	 1	 4	 ACRC_11051992	 1
 435.9	 11	 2	 269761.2	 1	 1	 5	 ACRC_11051992	 1
 536.6	 11	 3	 271684.5	 1	 1	 6	 ACRC_11051992	 1
 468.6	 11	 2	 275000.5	 1	 1	 7	 ACRC_11051992	 1
 575.4	 11	 3	 278581.7	 1	 1	 8	 ACRC_11051992	 1
 814.2	 12	 2	 280902.9	 1	 1	 1	 ACRC_11051992	 1
 602.5	 12	 1	 283522.6	 1	 1	 2	 ACRC_11051992	 1
 656.9	 12	 1	 286772.2	 1	 1	 3	 ACRC_11051992	 1
 781.3	 12	 2	 289159.8	 1	 1	 4	 ACRC_11051992	 1
 905.8	 12	 3	 292691.3	 1	 1	 5	 ACRC_11051992	 1
 932	 12	 3	 295145.1	 1	 1	 6	 ACRC_11051992	 1
 573.6	 11	 1	 297615.5	 1	 1	 1	 ACRC_11051992	 1
 664.9	 11	 3	 301180.2	 1	 1	 2	 ACRC_11051992	 1
 515.7	 11	 3	 303385.4	 1	 1	 3	 ACRC_11051992	 1
 1104.4	 12	 2	 306452.7	 1	 1	 1	 ACRC_11051992	 1
 656.5	 12	 3	 309652.6	 1	 1	 2	 ACRC_11051992	 1
 681.9	 12	 3	 312587.2	 1	 1	 3	 ACRC_11051992	 1
 648.1	 12	 2	 316069	 1	 1	 4	 ACRC_11051992	 1
 676	 12	 1	 318473.1	 1	 1	 5	 ACRC_11051992	 1
 569.8	 11	 2	 321507.3	 1	 1	 1	 ACRC_11051992	 1
 523.7	 11	 1	 323745.5	 1	 1	 2	 ACRC_11051992	 1
 596.5	 11	 3	 326232.6	 1	 1	 3	 ACRC_11051992	 1
 826.9	 11	 3	 328338.2	 1	 1	 4	 ACRC_11051992	 1
 531.4	 11	 1	 330609.7	 1	 1	 5	 ACRC_11051992	 1
